Name,Commits,URL
kenta-s,42,https://contributors.rubyonrails.org/contributors/kenta-s/commits
Norman Clarke,42,https://contributors.rubyonrails.org/contributors/norman-clarke/commits
Shodai Suzuki,42,https://contributors.rubyonrails.org/contributors/shodai-suzuki/commits
Franck Verrot,41,https://contributors.rubyonrails.org/contributors/franck-verrot/commits
Jonathan Viney,41,https://contributors.rubyonrails.org/contributors/jonathan-viney/commits
Josef Šimánek,41,https://contributors.rubyonrails.org/contributors/josef-simanek/commits
Kevin Newton,41,https://contributors.rubyonrails.org/contributors/kevin-newton/commits
Tom Ward,41,https://contributors.rubyonrails.org/contributors/tom-ward/commits
Brian Cardarella,40,https://contributors.rubyonrails.org/contributors/brian-cardarella/commits
Mark J. Titorenko,39,https://contributors.rubyonrails.org/contributors/mark-j-titorenko/commits
Ralph Shnelvar,39,https://contributors.rubyonrails.org/contributors/ralph-shnelvar/commits
Sharang Dashputre,39,https://contributors.rubyonrails.org/contributors/sharang-dashputre/commits
Andrew Kaspick,38,https://contributors.rubyonrails.org/contributors/andrew-kaspick/commits
Brian Lopez,38,https://contributors.rubyonrails.org/contributors/brian-lopez/commits
Matt Jankowski,38,https://contributors.rubyonrails.org/contributors/matt-jankowski/commits
Rashmi Yadav,38,https://contributors.rubyonrails.org/contributors/rashmi-yadav/commits
Uģis Ozols,38,https://contributors.rubyonrails.org/contributors/ugis-ozols/commits
Vinicius Stock,38,https://contributors.rubyonrails.org/contributors/vinicius-stock/commits
Chris Kampmeier,37,https://contributors.rubyonrails.org/contributors/chris-kampmeier/commits
Haroon Ahmed,37,https://contributors.rubyonrails.org/contributors/haroon-ahmed/commits
Tore Darell,37,https://contributors.rubyonrails.org/contributors/tore-darell/commits
Ghouse Mohamed,36,https://contributors.rubyonrails.org/contributors/ghouse-mohamed/commits
John Firebaugh,36,https://contributors.rubyonrails.org/contributors/john-firebaugh/commits
Thiago Pradi,36,https://contributors.rubyonrails.org/contributors/thiago-pradi/commits
Bob Silva,35,https://contributors.rubyonrails.org/contributors/bob-silva/commits
Erik Michaels-Ober,35,https://contributors.rubyonrails.org/contributors/erik-michaels-ober/commits
Jeff Dean,35,https://contributors.rubyonrails.org/contributors/jeff-dean/commits
Ken Collins,35,https://contributors.rubyonrails.org/contributors/ken-collins/commits
Mike Perham,35,https://contributors.rubyonrails.org/contributors/mike-perham/commits
Philip Arndt,35,https://contributors.rubyonrails.org/contributors/philip-arndt/commits
Richard Macklin,35,https://contributors.rubyonrails.org/contributors/richard-macklin/commits
Roque Pinel,35,https://contributors.rubyonrails.org/contributors/roque-pinel/commits
Andre Arko,34,https://contributors.rubyonrails.org/contributors/andre-arko/commits
Bob Remeika,34,https://contributors.rubyonrails.org/contributors/bob-remeika/commits
Chris Salzberg,34,https://contributors.rubyonrails.org/contributors/chris-salzberg/commits
Jack Danger Canty,34,https://contributors.rubyonrails.org/contributors/jack-danger-canty/commits
Ryunosuke Sato,34,https://contributors.rubyonrails.org/contributors/ryunosuke-sato/commits
Takayuki Nakata,34,https://contributors.rubyonrails.org/contributors/takayuki-nakata/commits
Erik St. Martin,33,https://contributors.rubyonrails.org/contributors/erik-st-martin/commits
