Fetched 1000 contributors.

120. Aditya Sanghi — https://contributors.rubyonrails.org/contributors/aditya-sanghi/commits (since 25 Sep 2010, commits 76)
121. Agis Anastasopoulos — https://contributors.rubyonrails.org/contributors/agis-anastasopoulos/commits (since 21 Oct 2012, commits 75)
122. Sam Ruby — https://contributors.rubyonrails.org/contributors/sam-ruby/commits (since 24 Dec 2009, commits 73)
123. Vasiliy Ermolovich — https://contributors.rubyonrails.org/contributors/vasiliy-ermolovich/commits (since 27 Nov 2011, commits 73)
124. Gaurish Sharma — https://contributors.rubyonrails.org/contributors/gaurish-sharma/commits (since 08 Apr 2012, commits 70)
125. Manfred Stienstra — https://contributors.rubyonrails.org/contributors/manfred-stienstra/commits (since 01 Jan 2005, commits 69)
126. Roberto Miranda — https://contributors.rubyonrails.org/contributors/roberto-miranda/commits (since 18 Jan 2013, commits 69)
127. Wojciech Wnętrzak — https://contributors.rubyonrails.org/contributors/wojciech-wnetrzak/commits (since 13 Feb 2011, commits 69)
128. Jon Atack — https://contributors.rubyonrails.org/contributors/jon-atack/commits (since 20 Apr 2014, commits 68)
129. Josh Susser — https://contributors.rubyonrails.org/contributors/josh-susser/commits (since 19 Mar 2006, commits 68)
130. Mislav Marohnić — https://contributors.rubyonrails.org/contributors/mislav-marohnic/commits (since 26 Apr 2006, commits 67)
131. Stan Lo — https://contributors.rubyonrails.org/contributors/stan-lo/commits (since 24 Feb 2016, commits 67)
132. Andrew Novoselac — https://contributors.rubyonrails.org/contributors/andrew-novoselac/commits (since 05 Aug 2022, commits 66)
133. Marc-André Lafortune — https://contributors.rubyonrails.org/contributors/marc-andre-lafortune/commits (since 09 Aug 2009, commits 65)
134. Trevor Turk — https://contributors.rubyonrails.org/contributors/trevor-turk/commits (since 10 Dec 2007, commits 64)
135. Daniel Schierbeck — https://contributors.rubyonrails.org/contributors/daniel-schierbeck/commits (since 14 Sep 2008, commits 63)
136. Lachlan Sylvester — https://contributors.rubyonrails.org/contributors/lachlan-sylvester/commits (since 27 Jul 2011, commits 62)
137. Nick Sieger — https://contributors.rubyonrails.org/contributors/nick-sieger/commits (since 28 Jun 2006, commits 62)
138. Alberto Almagro — https://contributors.rubyonrails.org/contributors/alberto-almagro/commits (since 31 Jul 2017, commits 61)
139. Joost Baaij — https://contributors.rubyonrails.org/contributors/joost-baaij/commits (since 22 Sep 2007, commits 61)
140. Cristian Bica — https://contributors.rubyonrails.org/contributors/cristian-bica/commits (since 19 May 2014, commits 60)
141. Joshua Young — https://contributors.rubyonrails.org/contributors/joshua-young/commits (since 15 Sep 2022, commits 60)
142. Michael Schoen — https://contributors.rubyonrails.org/contributors/michael-schoen/commits (since 26 Oct 2005, commits 60)
143. John Bampton — https://contributors.rubyonrails.org/contributors/john-bampton/commits (since 16 Mar 2020, commits 59)
144. Eloy Duran — https://contributors.rubyonrails.org/contributors/eloy-duran/commits (since 01 Jun 2007, commits 58)
145. Cássio Marques — https://contributors.rubyonrails.org/contributors/cassio-marques/commits (since 05 Nov 2008, commits 56)
146. Matt Jones — https://contributors.rubyonrails.org/contributors/matt-jones/commits (since 07 Sep 2008, commits 56)
147. Ben Woosley — https://contributors.rubyonrails.org/contributors/ben-woosley/commits (since 24 Jul 2011, commits 55)
148. Henrik Nyh — https://contributors.rubyonrails.org/contributors/henrik-nyh/commits (since 06 May 2007, commits 55)
149. Alex Kitchens — https://contributors.rubyonrails.org/contributors/alex-kitchens/commits (since 03 Jun 2016, commits 54)
150. Amit Kumar Suroliya — https://contributors.rubyonrails.org/contributors/amit-kumar-suroliya/commits (since 19 Mar 2015, commits 53)
